excel_file,sheet_name,Номер выдела,Состав,Элемент леса,Высота,Диаметр,Разряд
23-26_with_tiers.xlsx,кв23,1,5С2Б2К1Е,С,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,1,5С2Б2К1Е,Б,10.0,10.0,8.0
23-26_with_tiers.xlsx,кв23,1,5С2Б2К1Е,К,14.0,16.0,6.0
23-26_with_tiers.xlsx,кв23,1,5С2Б2К1Е,Е,14.0,14.0,3.0
23-26_with_tiers.xlsx,кв23,2,5Л4Е1Б,Л,19.0,18.0,5.0
23-26_with_tiers.xlsx,кв23,2,5Л4Е1Б,Е,16.0,16.0,3.0
23-26_with_tiers.xlsx,кв23,2,5Л4Е1Б,Б,14.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,3,6Л2К1Е1Б+С,Л,19.0,18.0,5.0
23-26_with_tiers.xlsx,кв23,3,6Л2К1Е1Б+С,К,16.0,16.0,5.0
23-26_with_tiers.xlsx,кв23,3,6Л2К1Е1Б+С,Е,15.0,14.0,2.0
23-26_with_tiers.xlsx,кв23,3,6Л2К1Е1Б+С,Б,14.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,4,3С3Л2Е1Б1С,С,14.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,4,3С3Л2Е1Б1С,Л,16.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,4,3С3Л2Е1Б1С,Е,15.0,14.0,2.0
23-26_with_tiers.xlsx,кв23,4,3С3Л2Е1Б1С,Б,11.0,10.0,6.0
23-26_with_tiers.xlsx,кв23,4,3С3Л2Е1Б1С,С,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,5,7Е3Л,Е,17.0,16.0,2.0
23-26_with_tiers.xlsx,кв23,6,7С2С1К,С,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,6,7С2С1К,С,15.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,6,7С2С1К,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,7,5К3С2Л,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,7,5К3С2Л,С,13.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,7,5К3С2Л,Л,15.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,8,6К4С,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,8,6К4С,С,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,9,5Л2С1Е2Б,Л,16.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,9,5Л2С1Е2Б,С,14.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,9,5Л2С1Е2Б,Е,14.0,12.0,1.0
23-26_with_tiers.xlsx,кв23,9,5Л2С1Е2Б,Б,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,10,6Л2Е2Б,Л,17.0,16.0,6.0
23-26_with_tiers.xlsx,кв23,10,6Л2Е2Б,Е,14.0,14.0,3.0
23-26_with_tiers.xlsx,кв23,10,6Л2Е2Б,Б,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,11,6Л2К1С1Б,Л,19.0,18.0,5.0
23-26_with_tiers.xlsx,кв23,11,6Л2К1С1Б,К,16.0,16.0,5.0
23-26_with_tiers.xlsx,кв23,11,6Л2К1С1Б,С,14.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,11,6Л2К1С1Б,Б,14.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,12,6С2К1Л1Б,С,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,12,6С2К1Л1Б,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,12,6С2К1Л1Б,Л,15.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,12,6С2К1Л1Б,Б,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,13,7Л1С1Е1Б,Л,16.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,13,7Л1С1Е1Б,С,14.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,13,7Л1С1Е1Б,Е,13.0,12.0,2.0
23-26_with_tiers.xlsx,кв23,13,7Л1С1Е1Б,Б,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,14,5С3К1Е1Б,С,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,14,5С3К1Е1Б,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,14,5С3К1Е1Б,Е,12.0,12.0,3.0
23-26_with_tiers.xlsx,кв23,14,5С3К1Е1Б,Б,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,15,4Л2К2С2Б,Л,15.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,15,4Л2К2С2Б,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,15,4Л2К2С2Б,С,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,15,4Л2К2С2Б,Б,12.0,12.0,7.0
23-26_with_tiers.xlsx,кв23,16,8С2Л,С,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,16,8С2Л,Л,15.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,17,3Л2К4ОС1Б,Л,24.0,24.0,4.0
23-26_with_tiers.xlsx,кв23,17,3Л2К4ОС1Б,К,20.0,20.0,4.0
23-26_with_tiers.xlsx,кв23,17,3Л2К4ОС1Б,ОС,20.0,20.0,
23-26_with_tiers.xlsx,кв23,17,3Л2К4ОС1Б,Б,16.0,16.0,5.0
23-26_with_tiers.xlsx,кв23,18,6Л1С1К1Е1Б,Л,22.0,22.0,4.0
23-26_with_tiers.xlsx,кв23,18,6Л1С1К1Е1Б,С,18.0,18.0,5.0
23-26_with_tiers.xlsx,кв23,18,6Л1С1К1Е1Б,К,19.0,20.0,4.0
23-26_with_tiers.xlsx,кв23,18,6Л1С1К1Е1Б,Е,15.0,14.0,2.0
23-26_with_tiers.xlsx,кв23,18,6Л1С1К1Е1Б,Б,15.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,20,2Л2К1Е4ОС1Б,Л,17.0,16.0,6.0
23-26_with_tiers.xlsx,кв23,20,2Л2К1Е4ОС1Б,К,16.0,16.0,5.0
23-26_with_tiers.xlsx,кв23,20,2Л2К1Е4ОС1Б,Е,14.0,14.0,3.0
23-26_with_tiers.xlsx,кв23,20,2Л2К1Е4ОС1Б,ОС,16.0,16.0,
23-26_with_tiers.xlsx,кв23,20,2Л2К1Е4ОС1Б,Б,13.0,12.0,6.0
23-26_with_tiers.xlsx,кв23,21,4С2Л2К2С,С,14.0,14.0,7.0
23-26_with_tiers.xlsx,кв23,21,4С2Л2К2С,Л,16.0,14.0,6.0
23-26_with_tiers.xlsx,кв23,21,4С2Л2К2С,К,14.0,14.0,5.0
23-26_with_tiers.xlsx,кв23,21,4С2Л2К2С,С,9.0,10.0,9.0
23-26_with_tiers.xlsx,кв24,1,7Л2С1Б,Л,19.0,18.0,5.0
23-26_with_tiers.xlsx,кв24,1,7Л2С1Б,С,18.0,18.0,5.0
23-26_with_tiers.xlsx,кв24,1,7Л2С1Б,Б,14.0,14.0,6.0
23-26_with_tiers.xlsx,кв24,2,5С5Л+Б,С,15.0,16.0,7.0
23-26_with_tiers.xlsx,кв24,2,5С5Л+Б,Л,16.0,16.0,6.0
23-26_with_tiers.xlsx,кв24,3,5Л5С,Л,18.0,18.0,6.0
23-26_with_tiers.xlsx,кв24,4,5Л3Е1К1Б,Л,17.0,16.0,6.0
23-26_with_tiers.xlsx,кв24,4,5Л3Е1К1Б,Е,15.0,14.0,2.0
23-26_with_tiers.xlsx,кв24,4,5Л3Е1К1Б,К,16.0,16.0,5.0
23-26_with_tiers.xlsx,кв24,4,5Л3Е1К1Б,Б,14.0,14.0,6.0
23-26_with_tiers.xlsx,кв24,5,9Л1Е,Л,16.0,14.0,6.0
